Quarter,Sales,Expenses,Other_Income,Depreciation,Interest,Profit_before_tax,Tax,Net_profit,Operating_Profit
Sep-23,66.24,89.65,39.16,2.06,1.75,11.94,1.27,10.67,-23.41
Dec-23,80.19,98.33,45.12,2.23,1.71,23.04,4.2,18.84,-18.14
Mar-24,102.41,106.97,61.45,2.29,1.66,52.94,-33.37,86.31,-4.56
Jun-24,102.83,113.9,39.18,2.32,1.86,23.93,-18.3,42.23,-11.07
Sep-24,109.41,122.87,39.81,3.0,1.56,21.79,5.63,16.16,-13.46
Dec-24,119.14,123.3,41.01,2.87,2.5,31.48,7.02,24.46,-4.16
Mar-25,88.57,100.35,37.34,3.38,1.98,20.2,5.58,14.62,-11.78
Jun-25,81.83,98.94,40.1,3.2,2.35,17.44,4.52,12.92,-17.11
Sep-25,76.97,94.53,40.56,3.98,2.5,16.52,4.27,12.25,-17.56
Dec-25,95.67,105.44,45.4,3.71,2.67,29.25,7.57,21.68,-9.77
